0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,1,0,17,0,1,0,0,0,0,0,0,0,0,0,154,0,0,0,279,0,0,5,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,314,0,0,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,343,0,0,15,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,299,0,0,22,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,246,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,81,0,0,23,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,91,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,123,0,0,24,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,92,0,0,22,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,47,0,0,43,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,43,1,0,25,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,157,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,25,1,121,21,0,0,1,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,416,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,4,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,1,0,0,26,0,0,6,0,0,0,0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,26,0,0,0,1,0,21,0,0,0,0,0,8,0,3,2,0,0,0,6,0,0,0,300,12,0,0,0,0,0,0,0,0,0,0,0,1,155,0,0,0,0,1,0
0,0,20,0,0,0,0,0,0,0,28,0,60,0,0,0,0,0,0,0,0,30,0,0,0,0,18,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,33,0,26,0,0,144,0,22,0,27,0,67,0,0,0,0,0,0,0,7,0,0,0,24,15,0,48,0,0,0,0,0
0,0,36,0,0,2,0,0,0,0,6,0,26,0,0,0,0,0,0,0,0,54,0,0,0,0,21,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,5,0,24,0,0,295,0,26,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,16,0,0,0,0,0
0,0,156,0,0,46,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,119,0,0,0,0,47,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,0,163,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,12,0,0,0,0,0
0,0,180,0,0,64,0,0,0,0,1,0,63,0,0,0,0,0,0,0,0,100,0,0,0,0,61,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,1,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0
0,0,119,0,0,194,0,0,0,0,5,0,45,0,0,0,0,0,0,0,0,50,0,0,0,0,34,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,51,0,7,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,9,0,0,0,0,0
0,0,243,0,0,63,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,155,0,0,0,0,68,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,294,0,0,22,0,0,0,0,7,0,46,0,0,0,0,0,0,0,0,131,0,0,0,0,53,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
0,0,283,0,0,59,0,0,0,0,9,0,55,0,0,0,0,0,0,0,0,121,0,0,0,0,38,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0
0,0,202,0,0,48,0,0,0,0,2,0,66,0,0,0,0,0,0,0,0,136,0,0,0,0,66,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
0,0,165,0,0,15,0,0,0,0,4,0,168,0,0,0,0,0,0,0,0,110,0,0,0,0,52,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
0,0,227,0,0,8,0,0,0,0,5,0,155,0,0,0,0,0,0,0,0,120,0,0,0,0,39,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0
0,0,134,0,0,17,0,0,0,0,4,0,165,0,0,0,0,0,0,0,0,99,0,0,0,0,63,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
0,0,22,0,0,28,0,0,0,0,4,0,137,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
0,0,24,0,0,2,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,12,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,33,0,0,16,0,0,0,0,5,0,116,0,0,0,0,0,0,0,0,46,0,0,0,0,24,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,45,0,0,0,0,0,0,0,16,0,131,0,0,0,0,0,0,0,0,55,0,0,0,0,67,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
0,0,148,0,0,27,0,0,0,0,12,0,244,0,0,0,0,0,0,0,0,71,0,0,0,0,40,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,2,0,0,0,0,1,0
0,0,149,0,0,36,0,0,0,0,14,0,208,0,0,0,0,0,0,0,0,67,0,0,0,0,40,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
0,0,101,0,0,380,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,19,0,0,0,0,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
0,0,105,0,0,186,0,0,0,0,31,0,4,0,0,0,0,0,0,0,0,57,0,0,0,0,41,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
0,0,112,0,0,252,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,40,0,0,0,0,50,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
0,0,125,0,0,213,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,66,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
0,1,129,0,0,155,0,0,0,0,9,0,41,0,0,0,0,0,0,0,0,35,0,0,0,0,30,0,0,0,1,41,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71,0,39,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
0,1,97,0,0,84,0,0,0,0,26,0,26,0,0,0,0,0,0,11,4,52,0,0,0,0,28,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,20,0,27,1,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,28,1,0,0,1,0,2,0
3,0,0,0,48,0,0,1,0,0,0,0,0,1,0,0,0,0,37,3,1,0,0,0,8,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,27,1,0,0,2,0,0,0,0,0,0,0,0,0,48,0,0,0,171,8,0,0,0,1,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,176,1,0,22,5,2,0,2,0,5,0,0,0,0,0,0,0,4,3
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,3,28,0,2,2,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,1,0,0,0,1,0,0,0,73,11,0,2,1,2,0,0,3,5,0,0,0,0,0,0,0,0,14,0,0,5,8,1,0,0,0,7,0,0,0,0,0,2,0,0,0,1,2,0,0,0,13,0,0,42,0,0,73,0,6,32,0,0,0,0,0,1,0,0,4,0,0,0,3,2,0
2,0,0,88,0,0,1,0,0,36,0,0,0,54,1,0,0,0,25,0,0,0,0,0,1,9,0,0,0,0,11,0,59,0,6,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,9,0,0,79,0,0,0,0,0,15,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,123,0,0,0,0,2,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
0,0,0,57,0,0,0,0,0,27,0,0,0,16,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,115,0,5,0,0,0,13,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,97,0,0,1,0,0,87,0,0,0,53,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,19,0,0,0,38,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,0,0,0,0,0,68,0,0,0,43,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,4,0,0,0,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,32,0,0,0,0,0,94,0,0,0,35,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,6,0,0,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29,0,0,1,0,0,120,0,0,0,18,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,7,0,0,0,21,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,147,0,0,0,0,0,7,0,0,0,36,5,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,46,0,0,0,0,0,11,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,188,0,0,1,0,0,7,0,0,0,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,10,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,88,0,0,0,0,0,5,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,3,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,74,0,0,0,0,0,0,0,0,0,215,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,1,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,125,0,0,0,0,0,143,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,166,0,0,0,0,0,21,0,0,0,95,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,17,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,39,253,0,0,0,0,72,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,43,3,0,0,0,0,2,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,30,0,0,1,0,0,12,0,0,0,0,0,3,0,0,1,0,0,1,0,0,6
0,0,0,0,301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,146,0,0,0,112,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,256,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,133,0,0,0,145,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,29,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,260,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,9,0,0,4,1,0,5
0,1,0,5,40,0,1,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,16,0,0,0,0,0,0,0,4,31,2,0,0,0,2,0,0,6,0,0,0,343,0,0,0,0,0,0,0,0,23,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,93,0,0,1,0,6,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,2,326,0,4,0,0,1,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,8,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,48,35,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,12,0,0,0,64,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,271,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,1,0,0,0,95,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,5,0,0,0,9,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
5,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,367,0,0,0,6,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1
0,1,0,0,205,0,0,0,12,0,0,0,0,1,0,1,0,3,2,9,0,0,0,0,1,0,0,0,0,0,7,0,0,12,1,0,1,0,1,0,0,13,4,0,0,41,0,0,0,0,15,6,0,0,1,57,0,0,2,0,15,0,0,0,0,0,16,1,0,0,0,0,0,0,25,1,0,0,2,0,0,18,36,2,34,1,0,2,0,0,3,0,0,6,0,0,37,0,2,3
26,2,0,0,118,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,3,1,0,0,0,28,0,0,0,3,0,0,0,0,6,1,0,0,0,13,1,0,0,0,96,0,0,0,0,0,1,0,0,0,0,2,0,0,16,0,0,1,0,0,0,8,0,7,14,5,3,0,1,0,0,0,0,21,0,0,7,6,0,194
37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,22,0,0,0,2,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,11,3,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,45,4,6,47,106,0,25,0,12,0,26,55,0,0,14,0,3,121
2,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,5,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,0,3,0,0,2,6,0,0,0,0,1,0,67,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,7,15,8,404,1,0,0,0,0,1,1,0,0,45,1,0,0
